번호,라이브러리명,버전,라이선스,공식 저장소 URL,사용 목적 및 주요 기능
1,Linux kernel,6.18.26 (LTS),GPL-2.0-only,https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux.git,"운영체제 커널. Pi 4B 부팅 드라이버 builtin 구성, brcmfmac FWSUP 비활성 패치(patches/)"
2,glibc,2.38,LGPL-2.1+,https://sourceware.org/git/glibc.git,C 표준 라이브러리 / 동적 링커 (동적 링크로 사용)
3,"GCC (libgcc, libstdc++ 런타임)",13.2.0,GPL-3.0+ with GCC Runtime Library Exception 3.1,https://gcc.gnu.org/git/gcc.git,C/C++ 컴파일러 및 런타임 라이브러리
4,GNU Binutils,2.41,GPL-3.0+,https://sourceware.org/git/binutils-gdb.git,링커·어셈블러 (빌드 도구)
5,GMP / MPFR / MPC,6.3.0 / 4.2.1 / 1.3.1,LGPL-3.0+ / LGPL-3.0+ / LGPL-3.0+,"https://gmplib.org/ , https://www.mpfr.org/ , https://www.multiprecision.org/",GCC 의존 다정밀 연산 라이브러리
6,zlib,1.3.1,zlib,https://github.com/madler/zlib,압축 라이브러리
7,xz / bzip2 / gzip / zstd,5.4.6 / 1.0.8 / 1.13 / 1.5.5,GPL-3.0+ (xz: 0BSD/GPL) / bzip2 / GPL-3.0+ / BSD-3,"https://github.com/tukaani-project/xz , https://sourceware.org/bzip2/ , https://www.gnu.org/software/gzip/ , https://github.com/facebook/zstd",압축 도구
8,sysvinit,3.08,GPL-2.0+,https://github.com/slicer69/sysvinit,init 시스템 (부팅·런레벨·tty1 자동 로그인)
9,eudev,3.2.14,GPL-2.0+ / LGPL-2.1+,https://github.com/eudev-project/eudev,장치 관리(udev)
10,D-Bus,1.14.10,AFL-2.1 or GPL-2.0+,https://gitlab.freedesktop.org/dbus/dbus,IPC 버스 (ibus·Qt 앱 단일 인스턴스)
11,util-linux,2.39.3,GPL-2.0+ / LGPL-2.1+ / BSD,https://github.com/util-linux/util-linux,agetty·mount·fdisk 등 시스템 유틸리티
12,GNU coreutils,9.4,GPL-3.0+,https://git.savannah.gnu.org/git/coreutils.git,"기본 명령(ls, cp, …)"
13,Bash,5.2.21,GPL-3.0+,https://git.savannah.gnu.org/git/bash.git,셸 / 빌드·부팅 스크립트 실행
14,GNU findutils / grep / sed / gawk / diffutils / tar / make,4.9.0 / 3.11 / 4.9 / 5.3.0 / 3.10 / 1.35 / 4.4.1,GPL-3.0+,https://www.gnu.org/software/,기본 텍스트·파일 도구
15,shadow,4.14.5,BSD-3-Clause,https://github.com/shadow-maint/shadow,계정·로그인 관리
16,Linux-PAM,1.6.0,BSD-3-Clause,https://github.com/linux-pam/linux-pam,인증 모듈
17,e2fsprogs,1.47.0,GPL-2.0 / LGPL-2.0,https://git.kernel.org/pub/scm/fs/ext2/e2fsprogs.git,ext4 파일시스템 도구(fsck)
18,procps-ng / psmisc,4.0.4 / 23.6,GPL-2.0+ / GPL-2.0+,"https://gitlab.com/procps-ng/procps , https://gitlab.com/psmisc/psmisc","프로세스 관리(ps, top, pkill)"
19,kmod,31,LGPL-2.1+ / GPL-2.0+,https://git.kernel.org/pub/scm/utils/kernel/kmod/kmod.git,커널 모듈 도구
20,iproute2,6.7.0,GPL-2.0+,https://git.kernel.org/pub/scm/network/iproute2/iproute2.git,네트워크 설정(ip)
21,dhcpcd,10.0.6,BSD-2-Clause,https://github.com/NetworkConfiguration/dhcpcd,DHCP 클라이언트 (유선/무선 IP 자동 설정)
22,wpa_supplicant,2.11,BSD-3-Clause,https://w1.fi/cgit/hostap/,WiFi WPA2 인증 (4-way offload 비활성 패치)
23,libnl,3.9.0,LGPL-2.1,https://github.com/thom311/libnl,wpa_supplicant nl80211 통신
24,chrony,4.5,GPL-2.0,https://gitlab.com/chrony/chrony,NTP 시간 동기화 (RTC 없는 Pi 시계 보정)
25,OpenSSL,3.2.1,Apache-2.0,https://github.com/openssl/openssl,TLS/암호화 (wpa_supplicant·chrony·Qt 네트워크)
26,wireless-regdb,2024+ regulatory.db,ISC,https://git.kernel.org/pub/scm/linux/kernel/git/wens/wireless-regdb.git,WiFi 규제 도메인 DB (KR)
27,Cypress/Infineon CYW43455 WiFi firmware,linux-firmware cypress,"Cypress 독점 라이선스(재배포 허용, 무수정)",https://git.kernel.org/pub/scm/linux/kernel/git/firmware/linux-firmware.git,Pi 4B WiFi 펌웨어 (커널 이미지 내장)
28,"Raspberry Pi boot firmware (start4.elf, fixup4.dat)",raspberrypi/firmware,Broadcom 독점 라이선스(Pi 기기용 재배포 허용),https://github.com/raspberrypi/firmware,Pi 4B 부트로더 (EEPROM → start4.elf → kernel8.img)
